Timestamp,X,Y,Z
24.461,-2.3463178,2.4899697,12.670115
24.482,-3.083732,3.1603463,12.5743475
24.502,-2.9879637,3.6487634,12.076353
24.522,-1.13964,2.815581,12.018892
24.543,-0.89064306,1.8674773,13.062764
24.564,-1.532289,1.091756,15.188815
24.584,-2.3080103,1.2066777,14.144943
24.605,-1.9919758,1.8195933,10.534488
24.626,-1.7525556,1.982399,9.040505
24.646,-1.4556746,1.8291701,7.4986396
24.671,-1.2258313,1.2737153,8.264784
24.693,-1.1013328,1.1204864,8.532935
24.714,-0.9576807,1.0247183,8.973468
24.737,-1.0821792,1.2066777,7.833828
24.758,-1.0630256,1.3982137,7.1730285
24.779,-1.0534488,1.8483237,6.0525417
24.799,-1.3215994,2.078167,5.7748146
24.82,-1.436521,2.27928,5.535394
24.84,-1.2545617,2.3654714,5.583278
24.861,-0.9864111,2.432509,6.579266
24.881,-1.0726024,2.2984335,7.795521
24.902,-1.2545617,2.1452048,9.030929
24.923,-1.4173675,2.1452048,9.835381
24.943,-1.3599066,2.0398598,10.371682
24.964,-1.2545617,1.0726024,13.043611
24.984,-1.4652514,0.81402856,14.15452
25.005,-2.087744,1.0726024,14.326903
25.026,-1.8004397,1.436521,12.354081
25.047,-0.45010993,1.4269443,10.697293
25.068,-0.038307227,0.78529817,11.654974
25.088,-1.0151415,0.31603462,12.98615
25.109,-2.0494366,0.59376204,13.493721
25.13,-1.7908629,1.1300632,11.415554
25.15,-1.3024458,1.3982137,9.653421
25.171,-0.41180268,1.4173675,8.236053
25.191,-0.095768064,1.3599066,8.2169
25.212,0.35434186,1.3024458,8.485051
25.232,0.12449849,1.3982137,8.695741
25.253,-0.05746084,1.4652514,8.322245
25.274,-0.4213795,2.0015526,6.6654577
25.294,-0.6991069,2.2984335,5.535394
25.315,-0.93852705,2.528277,4.8937483
25.341,-0.90021986,2.633622,5.7269306
25.363,-0.90021986,2.6527755,6.291962
25.383,-0.6799533,2.4420857,8.504205
25.404,-0.6991069,2.4420857,9.11712
25.424,-1.043872,2.27928,11.032481
25.445,-1.1300632,2.2697031,11.530476
25.465,-1.3024458,2.183512,11.808203
25.485,-1.4556746,2.0973208,12.842498
25.506,-1.6950948,2.9496565,13.148955
25.526,-1.0342951,3.217807,12.239159
25.547,-0.30645782,2.4229321,11.674128
25.567,-0.49799395,1.4556746,13.656527
25.587,-1.0726024,1.13964,14.30775
25.608,-1.5227122,1.541866,11.856087
25.628,-1.2258313,2.030283,9.442732
25.649,-0.9768343,2.2984335,7.8625584
25.669,-0.19153613
25.689,-0.11492168,1.3215994,8.916007
25.71,-0.49799395,1.0247183,9.672575
25.73,-0.6512229,1.1013328,9.682152
25.751,-0.48841715,1.2449849,9.155427
25.771,-0.37349546,1.5514427,7.249643
25.791,-0.7086837,1.8387469,6.5601125
25.812,-1.0534488,2.078167,5.9663506
25.832,-1.2354081,2.3463178,5.315128
25.853,-0.94810385,2.5474305,5.410896
25.873,-0.7086837,2.5953147,6.291962
25.893,-0.7182605,2.3750482,7.8625584
25.914,-0.91937345,2.0973208,9.662998
25.934,-0.7182605,1.982399,10.611102
25.955,-0.6895301,1.8866309,11.36767
25.975,-0.82360536,1.6089035,12.449849
25.995,-0.93852705,1.2545617,13.493721
26.016,-1.292869,1.2449849,13.685257
26.036,-1.7429788,2.0973208,12.26789
26.057,-0.5267244,2.1547816,10.6398325
26.077,0.59376204,1.733402,10.419566
26.098,-0.009576807,0.9768343,12.076353
26.118,-1.091756,1.1683705,13.158532
26.138,-1.1013328,1.4077905,12.095507
26.159,-0.7661445,1.7908629,10.0748005
26.18,0.18195933,1.7046716,8.437167
26.2,0.60333884,1.5131354,8.571242
26.22,0.5363012,1.388637,9.442732
26.241,0.15322891,1.4556746,9.883265
26.261,0.20111294,1.4460979,9.3661175
26.282,0.08619126,1.733402,8.580819
26.302,-0.46926352,2.0590134,7.0485296
26.323,-0.80445176,2.3463178,6.081272
26.343,-0.9864111,2.6240451,5.2959743
26.363,-0.6799533,2.9113493,5.7365074
26.384,-0.39264908,2.9975405,7.029376
26.404,-0.2873042,2.8538885,8.274361
26.424,-0.2681506,2.6527755,9.691729
26.445,-0.6991069,2.767697,11.176133
26.466,-1.043872,2.9400797,11.808203
26.486,-1.283292,2.9592333,12.0093155
26.507,-1.7429788,3.1890767,12.603078
26.528,-1.934515,3.6104562,12.152967
26.548,-2.1643584,4.185065,11.87524
26.569,-0.7278373,3.5625722,11.616667
26.589,0.05746084,2.72939,11.779472
26.61,-0.22984336,2.078167,12.545617
26.631,-1.3311762,1.5705963,13.579912
26.651,-1.3982137,2.0685902,10.879252
26.672,-0.93852705,2.3942018,8.063671
26.692,-0.47884035,2.1930888,7.029376
26.712,-0.59376204,1.733402,7.747637
26.733,-0.7661445,1.2737153,9.14585
26.753,-0.8810662,1.1971009,9.710882
26.774,-0.5650316,1.3215994,9.385271
26.794,-0.5554548,1.4556746,8.743625
26.814,-0.81402856,1.6950948,7.3166804
26.835,-0.89064306,1.8866309,6.5984197
26.855,-1.091756,2.0973208,6.196194
26.876,-1.1109096,2.1930888,5.9280434
26.896,-1.0342951,2.2984335,5.947197
26.917,-0.5267244,2.1547816,7.565677
26.937,-0.5650316,2.0207062,8.925584
26.958,-0.6991069,2.135628,9.720459
26.978,-0.7565677,2.183512,10.314221
26.998,-0.5746084,1.9057846,10.869676
27.019,-0.45010993,1.5897499,11.808203
27.039,-0.6512229,1.1875241,12.698846
27.06,-1.532289,1.2545617,13.445837
27.08,-1.6950948,1.7429788,12.890382
27.1,-0.58418524,1.6184803,11.616667
27.121,0.59376204,1.1587936,12.124237
27.141,-0.08619126,0.31603462,13.876793
27.162,-0.7469909,0.2777274,14.4609785
27.182,-1.3599066,1.3311762,11.693281
27.202,-0.90021986,1.9728222,8.8777
27.223,-0.49799395,2.2026656,7.843405
27.243,0.22984336,1.7621324,8.63828
27.264,0.45968673,1.6280571,8.992621
27.284,0.45010993,1.484405,9.203311
27.304,0.11492168,1.7238252,8.322245
27.325,-0.076614454,1.7812861,7.5848308
27.345,-0.40222588,2.0398598,6.090849
27.366,-0.5746084,2.1547816,5.5737014
27.386,-0.6607997,2.2505496,5.6982
27.407,-0.5267244,2.2218192,6.2632318
27.427,-0.60333884,2.3942018,6.703765
27.448,-0.60333884,2.4037786,7.07726
27.468,-0.6703765,2.3750482,9.605537
27.489,-1.2066777,2.4420857,10.91756
27.51,-1.3311762,2.4229321,10.907983
27.53,-1.4173675,2.72939,11.492168
27.551,-1.3694834,2.5474305,12.708423
27.572,-1.685518,2.8443117,13.522451
27.592,-1.484405,3.5817258,12.516887
27.613,-0.25857377,2.834735,11.63582
27.633,-0.2873042,2.384625,12.488156
27.654,-1.1587936,1.9919758,13.464991
27.675,-2.1739352,2.183512,12.11466
27.696,-1.6663644,2.681506,9.615114
27.716,-1.6184803,2.6910827,9.414001
27.737,-0.8331822,2.6719291,7.517793
27.758,-0.60333884,1.934515,8.37013
27.778,-0.641646,1.7525556,8.37013
27.801,-0.22026655,1.436521,8.015787
27.823,-0.095768064,1.4077905,7.9391727
27.843,-0.21068975,1.484405,7.632715
27.864,-0.92895025,1.8291701,6.435614
27.884,-1.292869,1.9057846,6.38773
27.905,-1.7142484,2.2218192,6.1100025
27.926,-1.8291701
27.946,-1.2737153,2.4133554,7.2783732
27.967,-0.78529817,2.183512,8.810662
27.987,-0.36391866
28.008,-0.58418524
28.029,-0.63206923,2.0015526,11.9135475
28.049,-0.7278373,1.6759412,12.737153
28.07,-0.93852705,1.3311762,13.522451
28.091,-1.5227122,1.7046716,13.637373
28.112,-1.532289,1.7525556,13.359646
28.132,0.19153613,1.3790601,10.898406
28.153,0.7565677,0.60333884,11.57836
